,image_id,question,answer
0,51606,What is the hairstyle of the blond called?,pony tail
1,81721,How old do you have to be in canada to do this?,18
2,480208,Can you guess the place where the man is playing?,aspen
3,570618,Which rail company is named after a town in new mexico?,santa fe
4,478903,Is the boy swimming or doing another water activity?,another activity
5,542651,Why do kids stare?,curious
6,25024,When was this piece of sporting equipment invented?,1926
7,2056,Why is this officer using this mode of transportation?,patrol
8,179526,Why is this an atypical look for someone wearing this makeup?,clown
9,386927,Which american president is most associated with the stuffed animal seen here?,theodore roosevelt
10,407809,Which breed of dog it this?,doberman
11,214137,What is the name of the famous dreamworks animated film where this animal was voiced by chris rock?,madagascar
12,139878,What objects is this person using to help them ski?,pole
13,460095,Has this guy shaved his beard today how do you know?,no scruffy
14,410622,Where would i find this room?,jail
15,40085,What toy store used a mascot similar to these animals for many years?,toy r us
16,166533,What would the red bottle next to the sink probably contain?,dish soap
17,9745,How long can this vessel travel?,100 miles
18,473100,What bird appears in this picture?,eagle
19,52153,What event are they setting up for?,birthday party
20,75643,What is this meeting about?,politic
21,97747,What's the name of this river?,mississippi
22,447977,Is the scene indoors or outdoors?,outdoor
23,183240,What kind of dog is in the photo?,saint bernard
24,316170,What is on the round plate?,croissant
25,128264,What does this vehicle usually do?,transport people
26,456792,What is the largest of this type of waterway?,canal
27,382997,What kind of desserts are this?,pastry
28,229525,Are the lightswitches on or off?,on
29,270688,What are the red items in the bowl?,tomato
30,53615,What type of animal is this?,llama
31,75190,What kind of bushes are behind that bench?,kudzu
32,58435,What fields are these vechicles used to spray?,crop
33,296137,What image is on the airplane?,leaf
34,82131,What is the name of the park these benches reside in?,central park
35,269490,What is missing from this man's body?,shirt
36,573485,In what country would you find this bus?,united kingdom
37,297488,What religion holds these animals as sacred?,hindu
38,438306,What is this vehicle used for?,commuter train
39,214834,What type of flowers are in the pot?,black eyed susan
40,59367,What is the common name of the orange items seen here?,noodle
41,236015,What brand of glove is this?,rawling
42,415569,In which type of location are all these people located?,stadium
43,453287,What are these green signs typically used for?,street name
44,448046,What does one call the sheer netting the woman is wearing over her head?,veil
45,36755,What are those giraffes eating?,grain
46,217306,What are the panels on the wall used for?,privacy
47,123201,What are these two individuals celebrating?,marriage
48,283875,What is normally used to kill the animals mounted on the wall?,gun
49,54386,What artist is famous to painting images similar to the one over the fireplace?,van gogh
50,468276,Is the beer bottle full or empty?,full
51,21451,Is this in a resturaunt or at home?,resturaunt
52,59843,What is the name of the bridge in the background?,golden gate
53,271079,These doors are used for what?,elevator
54,79552,What kind of battery does this device use?,lithium
55,295370,The feet of animals like these are called what?,paw
56,408272,What are the most popular countries for this sport?,brazil
57,370493,What brand of shoes is the white woman wearing?,converse
58,137281,What does this sign signify?,speed limit
59,295776,What is the best way to eat this?,peel
60,3713,Who invented this sport?,tom sim
61,123535,What breed of sheep is this?,merino
62,103676,What year did this action figures first get released?,1977
63,304625,Which disney movie featured this type of garb?,mulan
64,370121,Is it day or night here?,day
65,538821,What is the name of the bean that the flavor of the cupcake comes from?,cocoa
66,71005,What brand is this blender?,oster
67,426274,The term multi tasking refers to which two activities seen here?,talk and eat
68,410425,Is this airplane most likely taking off or landing?,land
69,182468,What might be some alternate uses of the can shown in the photo?,vase
70,496891,Is this a city bus or a tour bus?,tour bus
71,54691,What is filled in those bottles?,citrus juice
72,437857,What nickname for the furry animal starts with the same letter as the food in the box?,pussy
73,81704,This young man is demonstrating something you shouldn't do what is it?,run with scissor
74,282669,What kind of store would sell this?,gift shop
75,56442,What vitamins do you get from these vegetables?,beta carotene
76,64827,What position does she play?,goalie
77,165347,Why is that bus taking up three lanes?,turn
78,210806,How fast can a plane like this fly?,700 mph
79,83979,What do birds do in the winter?,fly south
80,31437,What is this technique called?,roast
81,57515,What character is this umbrella designed after?,sock monkey
82,25060,What is the maximum weight the red suitcase can carry?,50 kg
83,236626,What type of phone does this man have?,i phone
84,449197,What is the name of the item worn around the neck and tied at the waist?,apron
85,4042,When was the last time this team won a national title?,1984
86,386390,What is used to help the green plant grow?,fertilizer
87,289766,What is the name of those flowers?,pink flower
88,251475,What is the profession of the man in this photo?,soldier
89,283445,What sandwich is that?,steak
